Date,Place,Level
2021-01-05T04:45:00Z,Omme Å - Sønderskov bro (001855),-1.3180224304199202
2021-01-05T04:45:00Z,Fjederholt Å - A18 (052386),0.448
2021-01-05T04:30:00Z,Vorgod Å - Vandmøllen (055416),0.630130424499512
2021-01-05T04:30:00Z,Skjern Å - Sandfeldvej (055414),0.9736193084716801
2021-01-05T04:30:00Z,Skjern Å - Alergaard (001862),-4.263523006439209
2021-01-05T04:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.10607009887695
2021-01-05T04:30:00Z,Rind Å - Arnborg kirke (054757),0.784792785644531
2021-01-05T04:30:00Z,Omme Å - Sønderskov bro (001855),-1.3173840026855501
2021-01-05T04:30:00Z,Fjederholt Å - A18 (052386),0.449
2021-01-05T04:15:00Z,Vorgod Å - Vandmøllen (055416),0.630495872497559
2021-01-05T04:15:00Z,Skjern Å - Sandfeldvej (055414),0.973619003295898
2021-01-05T04:15:00Z,Skjern Å - Alergaard (001862),-4.2630315208435
2021-01-05T04:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.10737884521484
2021-01-05T04:15:00Z,Rind Å - Arnborg kirke (054757),0.789255905151367
2021-01-05T04:15:00Z,Omme Å - Sønderskov bro (001855),-1.3174450378418001
2021-01-05T04:15:00Z,Fjederholt Å - A18 (052386),0.449
2021-01-05T04:00:00Z,Vorgod Å - Vandmøllen (055416),0.630065879821777
2021-01-05T04:00:00Z,Skjern Å - Sandfeldvej (055414),0.9754013824462889
2021-01-05T04:00:00Z,Skjern Å - Alergaard (001862),-4.2612006187438896
2021-01-05T04:00:00Z,Skjern Å - Gjaldbæk bro (017898),1.1061231231689501
2021-01-05T04:00:00Z,Rind Å - Arnborg kirke (054757),0.784016647338867
2021-01-05T04:00:00Z,Omme Å - Sønderskov bro (001855),-1.31745205688477
2021-01-05T04:00:00Z,Fjederholt Å - A18 (052386),0.448
2021-01-05T03:45:00Z,Vorgod Å - Vandmøllen (055416),0.629616508483887
2021-01-05T03:45:00Z,Skjern Å - Sandfeldvej (055414),0.9755068206787111
2021-01-05T03:45:00Z,Skjern Å - Alergaard (001862),-4.25952123641967
2021-01-05T03:45:00Z,Skjern Å - Gjaldbæk bro (017898),1.10890991210938
2021-01-05T03:45:00Z,Rind Å - Arnborg kirke (054757),0.7875095367431639
2021-01-05T03:45:00Z,Omme Å - Sønderskov bro (001855),-1.31728604125977
2021-01-05T03:45:00Z,Fjederholt Å - A18 (052386),0.449
2021-01-05T03:30:00Z,Vorgod Å - Vandmøllen (055416),0.6303331375122071
2021-01-05T03:30:00Z,Skjern Å - Sandfeldvej (055414),0.975945358276367
2021-01-05T03:30:00Z,Skjern Å - Alergaard (001862),-4.26250936508178
2021-01-05T03:30:00Z,Skjern Å - Gjaldbæk bro (017898),1.1076638793945301
2021-01-05T03:30:00Z,Rind Å - Arnborg kirke (054757),0.788091659545898
2021-01-05T03:30:00Z,Omme Å - Sønderskov bro (001855),-1.3170071105957
2021-01-05T03:30:00Z,Fjederholt Å - A18 (052386),0.45
2021-01-05T03:15:00Z,Vorgod Å - Vandmøllen (055416),0.631068458557129
2021-01-05T03:15:00Z,Skjern Å - Sandfeldvej (055414),0.976165084838867
2021-01-05T03:15:00Z,Skjern Å - Alergaard (001862),-4.26058797836303
2021-01-05T03:15:00Z,Skjern Å - Gjaldbæk bro (017898),1.1104141998291
2021-01-05T03:15:00Z,Rind Å - Arnborg kirke (054757),0.7873155212402341
2021-01-05T03:15:00Z,Omme Å - Sønderskov bro (001855),-1.3165841369628901
2021-01-05T03:15:00Z,Fjederholt Å - A18 (052386),0.45
