Length,Period,Avg,Lower,Upper,MonthN
60,Apr,1.933,1.528,2.445,4
60,May,2.253,1.78,2.851,5
60,Jun,2.331,1.844,2.948,6
60,Jul,2.125,1.682,2.685,7
60,Aug,2.008,1.591,2.535,8
60,Sep,1.922,1.522,2.426,9
60,Oct,1.927,1.525,2.434,10
61,Apr,2.038,1.611,2.577,4
61,May,2.362,1.867,2.988,5
61,Jun,2.438,1.928,3.082,6
61,Jul,2.23,1.766,2.817,7
61,Aug,2.11,1.671,2.663,8
61,Sep,2.021,1.602,2.551,9
61,Oct,2.028,1.605,2.562,10
62,Apr,2.147,1.698,2.714,4
62,May,2.474,1.956,3.129,5
62,Jun,2.547,2.015,3.219,6
62,Jul,2.339,1.852,2.954,7
62,Aug,2.214,1.754,2.794,8
62,Sep,2.125,1.683,2.682,9
62,Oct,2.133,1.689,2.694,10
63,Apr,2.259,1.787,2.857,4
63,May,2.589,2.047,3.275,5
63,Jun,2.66,2.104,3.361,6
63,Jul,2.45,1.94,3.095,7
63,Aug,2.322,1.84,2.931,8
63,Sep,2.231,1.768,2.816,9
63,Oct,2.241,1.775,2.83,10
64,Apr,2.376,1.88,3.004,4
64,May,2.708,2.142,3.425,5
64,Jun,2.775,2.196,3.507,6
64,Jul,2.566,2.032,3.24,7
64,Aug,2.434,1.928,3.071,8
64,Sep,2.342,1.855,2.955,9
64,Oct,2.353,1.864,2.972,10
65,Apr,2.497,1.976,3.156,4
65,May,2.831,2.239,3.579,5
65,Jun,2.894,2.291,3.656,6
65,Jul,2.684,2.126,3.389,7
65,Aug,2.548,2.019,3.216,8
65,Sep,2.456,1.946,3.099,9
65,Oct,2.469,1.956,3.118,10
66,Apr,2.622,2.075,3.314,4
66,May,2.957,2.339,3.737,5
66,Jun,3.016,2.387,3.81,6
66,Jul,2.806,2.223,3.543,7
66,Aug,2.667,2.113,3.366,8
66,Sep,2.573,2.039,3.247,9
66,Oct,2.589,2.051,3.269,10
67,Apr,2.752,2.178,3.477,4
67,May,3.086,2.442,3.901,5
67,Jun,3.141,2.487,3.967,6
67,Jul,2.932,2.323,3.702,7
67,Aug,2.789,2.21,3.519,8
67,Sep,2.694,2.135,3.4,9
67,Oct,2.713,2.149,3.424,10
68,Apr,2.885,2.284,3.645,4
68,May,3.219,2.548,4.068,5
