Place,Day,Avg
Skjern Å - Laksens hus,1,170.7631385851332
Skjern Å - Laksens hus,2,166.77389909825047
Skjern Å - Laksens hus,3,163.24097404038008
Skjern Å - Laksens hus,4,159.7535974007196
Skjern Å - Laksens hus,5,156.31547278652207
Skjern Å - Laksens hus,6,152.81735241615172
Skjern Å - Laksens hus,7,149.25955631275664
Skjern Å - Laksens hus,8,145.8901453366764
Skjern Å - Laksens hus,9,142.748175429269
Skjern Å - Laksens hus,10,139.6466822772628
Skjern Å - Laksens hus,11,136.420884341306
Skjern Å - Laksens hus,12,133.3464075272846
Skjern Å - Laksens hus,13,130.45562098538397
Skjern Å - Laksens hus,14,127.24208906022966
Skjern Å - Laksens hus,15,123.33602444521347
Skjern Å - Laksens hus,16,119.18370711717115
Skjern Å - Laksens hus,17,114.8873491359505
Skjern Å - Laksens hus,18,110.83745740314626
Skjern Å - Laksens hus,19,107.66520519269358
Skjern Å - Laksens hus,20,104.29437648898988
Skjern Å - Laksens hus,21,101.1228918875406
Skjern Å - Laksens hus,22,98.0742368114824
Skjern Å - Laksens hus,23,95.23534715098857
Skjern Å - Laksens hus,24,91.76111798432191
Skjern Å - Laksens hus,25,87.65860351672931
Skjern Å - Laksens hus,26,83.4493439681182
Skjern Å - Laksens hus,27,79.37262444651327
Skjern Å - Laksens hus,28,75.2588311401861
Skjern Å - Laksens hus,29,71.0144194876303
Skjern Å - Laksens hus,30,66.7805463188708
Skjern Å - Laksens hus,31,65.48349684149301
Skjern Å - Laksens hus,32,62.39778436078314
Skjern Å - Laksens hus,33,60.565354191030046
Skjern Å - Laksens hus,34,59.20419620491894
Skjern Å - Laksens hus,35,57.58636296803623
Skjern Å - Laksens hus,36,55.61101256294363
Skjern Å - Laksens hus,37,53.47205731603005
Skjern Å - Laksens hus,38,51.67745961155474
Skjern Å - Laksens hus,39,49.96922243948684
Skjern Å - Laksens hus,40,48.379144121585604
Skjern Å - Laksens hus,41,47.13062283686338
Skjern Å - Laksens hus,42,45.66853880868044
Skjern Å - Laksens hus,43,44.1103629021776
Skjern Å - Laksens hus,44,41.63597647445048
Skjern Å - Laksens hus,45,38.443066752228255
Skjern Å - Laksens hus,46,35.08179553309245
Skjern Å - Laksens hus,47,31.586833148833193
Skjern Å - Laksens hus,48,28.08189063340109
Skjern Å - Laksens hus,49,24.845314823215904
Skjern Å - Laksens hus,50,22.231013536113206
Skjern Å - Laksens hus,51,19.541978813890978
Skjern Å - Laksens hus,52,16.583433243012003
Skjern Å - Laksens hus,53,13.682357625728052
Skjern Å - Laksens hus,54,10.839646591777436
Skjern Å - Laksens hus,55,8.027296668937929
Skjern Å - Laksens hus,56,6.383640144799055
Skjern Å - Laksens hus,57,6.421666186465721
Skjern Å - Laksens hus,58,6.471279289115786
Skjern Å - Laksens hus,59,6.513976763244326
Skjern Å - Laksens hus,60,6.544299174564096
Skjern Å - Laksens hus,61,6.57412742590082
Skjern Å - Laksens hus,62,6.605479567104524
Skjern Å - Laksens hus,63,6.637363545162688
Skjern Å - Laksens hus,64,6.655432507354046
Skjern Å - Laksens hus,65,6.676653489496904
Skjern Å - Laksens hus,66,6.708245095847973
Skjern Å - Laksens hus,67,6.750509563440565
Skjern Å - Laksens hus,68,6.815097044150442
Skjern Å - Laksens hus,69,6.891026918878111
Skjern Å - Laksens hus,70,6.979049826578945
Skjern Å - Laksens hus,71,7.061618270692701
Skjern Å - Laksens hus,72,7.1267721429753115
Skjern Å - Laksens hus,73,7.185234725647269
Skjern Å - Laksens hus,74,7.247801940859841
Skjern Å - Laksens hus,75,7.299978349038853
Skjern Å - Laksens hus,76,7.34908950715128
Skjern Å - Laksens hus,77,7.396996311283378
Skjern Å - Laksens hus,78,7.441399610709565
Skjern Å - Laksens hus,79,7.495488033676602
Skjern Å - Laksens hus,80,7.5566777588330964
Skjern Å - Laksens hus,81,7.6112663004997625
Skjern Å - Laksens hus,82,7.666426764440816
Skjern Å - Laksens hus,83,7.725893133488435
Skjern Å - Laksens hus,84,7.7775171689822615
Skjern Å - Laksens hus,85,7.828364392645837
Skjern Å - Laksens hus,86,7.8825038775572995
Skjern Å - Laksens hus,87,7.938236459390894
Skjern Å - Laksens hus,88,8.00470703644116
Skjern Å - Laksens hus,89,8.079539022221581
Skjern Å - Laksens hus,90,8.15191486547555
Skjern Å - Laksens hus,91,8.231296327666909
Skjern Å - Laksens hus,92,8.312838809346959
Skjern Å - Laksens hus,93,8.39608378848102
Skjern Å - Laksens hus,94,8.48315226841929
Skjern Å - Laksens hus,95,8.579189787709414
Skjern Å - Laksens hus,96,8.667071938833754
Skjern Å - Laksens hus,97,8.762884220089292
Skjern Å - Laksens hus,98,8.872631002322217
Skjern Å - Laksens hus,99,8.994598280401927
Skjern Å - Laksens hus,100,9.122520541204395
Skjern Å - Laksens hus,101,9.243682036216134
Skjern Å - Laksens hus,102,9.355284665184385
Skjern Å - Laksens hus,103,9.461094142556897
Skjern Å - Laksens hus,104,9.571936776192306
Skjern Å - Laksens hus,105,9.686810425883662
Skjern Å - Laksens hus,106,9.791688798899536
Skjern Å - Laksens hus,107,9.885670381025138
Skjern Å - Laksens hus,108,9.98672111404983
Skjern Å - Laksens hus,109,10.093919995222668
Skjern Å - Laksens hus,110,10.198704806929792
Skjern Å - Laksens hus,111,10.299544698905102
Skjern Å - Laksens hus,112,10.403605919236348
Skjern Å - Laksens hus,113,10.508927485594372
Skjern Å - Laksens hus,114,10.608655494853629
Skjern Å - Laksens hus,115,10.704103533781643
Skjern Å - Laksens hus,116,10.811228090519231
Skjern Å - Laksens hus,117,10.922576400867431
Skjern Å - Laksens hus,118,11.03080762692107
Skjern Å - Laksens hus,119,11.140809528444588
Skjern Å - Laksens hus,120,11.245190754690958
Skjern Å - Laksens hus,121,11.348874048900662
Skjern Å - Laksens hus,122,11.458152462437438
Skjern Å - Laksens hus,123,11.572462321592367
Skjern Å - Laksens hus,124,11.689844073135578
Skjern Å - Laksens hus,125,11.805600907350744
Skjern Å - Laksens hus,126,11.91732874544412
Skjern Å - Laksens hus,127,12.020352665197208
Skjern Å - Laksens hus,128,12.104281155894476
Skjern Å - Laksens hus,129,12.18234838764829
Skjern Å - Laksens hus,130,12.261597018321217
Skjern Å - Laksens hus,131,12.34691563053462
Skjern Å - Laksens hus,132,12.442840365505099
Skjern Å - Laksens hus,133,12.53724429517882
Skjern Å - Laksens hus,134,12.621231767466247
Skjern Å - Laksens hus,135,12.708013175047538
Skjern Å - Laksens hus,136,12.785442835923114
Skjern Å - Laksens hus,137,12.859757658775143
Skjern Å - Laksens hus,138,12.940657401676997
Skjern Å - Laksens hus,139,13.028856305098849
Skjern Å - Laksens hus,140,13.117600462698917
Skjern Å - Laksens hus,141,13.201490426323256
Skjern Å - Laksens hus,142,13.28161281621818
Skjern Å - Laksens hus,143,13.357919481208121
Skjern Å - Laksens hus,144,13.444700152504417
Skjern Å - Laksens hus,145,13.549616834031244
Skjern Å - Laksens hus,146,13.672265661750192
Skjern Å - Laksens hus,147,13.804856428573354
Skjern Å - Laksens hus,148,13.922876666668591
Skjern Å - Laksens hus,149,14.024156230160651
Skjern Å - Laksens hus,150,14.121318002647424
Skjern Å - Laksens hus,151,14.213426220240017
Skjern Å - Laksens hus,152,14.28949870408905
Skjern Å - Laksens hus,153,14.345478751037406
Skjern Å - Laksens hus,154,14.397915286531234
Skjern Å - Laksens hus,155,14.448922269555926
Skjern Å - Laksens hus,156,14.50798179336545
Skjern Å - Laksens hus,157,14.562986162242188
Skjern Å - Laksens hus,158,14.613536960049691
Skjern Å - Laksens hus,159,14.657295087062575
Skjern Å - Laksens hus,160,14.706576915766279
Skjern Å - Laksens hus,161,14.758345703492639
Skjern Å - Laksens hus,162,14.803254249211395
Skjern Å - Laksens hus,163,14.846802603224361
Skjern Å - Laksens hus,164,14.891416436998616
Skjern Å - Laksens hus,165,14.922524781354877
Skjern Å - Laksens hus,166,14.955078892906904
Skjern Å - Laksens hus,167,14.995982319910146
Skjern Å - Laksens hus,168,15.026890498922496
Skjern Å - Laksens hus,169,15.054290788002657
Skjern Å - Laksens hus,170,15.083944543871198
Skjern Å - Laksens hus,171,15.112791092297558
Skjern Å - Laksens hus,172,15.133353714558902
Skjern Å - Laksens hus,173,15.148967526287299
Skjern Å - Laksens hus,174,15.164059804726453
Skjern Å - Laksens hus,175,15.182560068267575
Skjern Å - Laksens hus,176,15.207917169206544
Skjern Å - Laksens hus,177,15.233402288642294
Skjern Å - Laksens hus,178,15.247855413642293
Skjern Å - Laksens hus,179,15.266197511755667
Skjern Å - Laksens hus,180,15.295182917399407
Skjern Å - Laksens hus,181,15.324506861061382
Skjern Å - Laksens hus,182,15.351657074067814
Skjern Å - Laksens hus,183,15.376461790095462
Skjern Å - Laksens hus,184,15.392772793073204
Skjern Å - Laksens hus,185,15.413805393381843
Skjern Å - Laksens hus,186,15.435377345542339
Skjern Å - Laksens hus,187,15.452080663443573
Skjern Å - Laksens hus,188,15.467439981388278
Skjern Å - Laksens hus,189,15.47951694898087
Skjern Å - Laksens hus,190,15.489686286378713
Skjern Å - Laksens hus,191,15.497626679897229
Skjern Å - Laksens hus,192,15.499817018137273
Skjern Å - Laksens hus,193,15.51038028974221
Skjern Å - Laksens hus,194,15.531543484186658
Skjern Å - Laksens hus,195,15.553078241728825
Skjern Å - Laksens hus,196,15.580035686629708
Skjern Å - Laksens hus,197,15.610051906867803
Skjern Å - Laksens hus,198,15.640540724107664
Skjern Å - Laksens hus,199,15.662248285836057
Skjern Å - Laksens hus,200,15.668841409252337
Skjern Å - Laksens hus,201,15.676216491924293
Skjern Å - Laksens hus,202,15.687387920495723
Skjern Å - Laksens hus,203,15.689076306211252
Skjern Å - Laksens hus,204,15.684629739853229
Skjern Å - Laksens hus,205,15.672160256285155
Skjern Å - Laksens hus,206,15.653750512327582
Skjern Å - Laksens hus,207,15.635275157497986
Skjern Å - Laksens hus,208,15.624252417198162
