2024-03-12T13:45:00Z,Laksens hus,6.48
2024-03-12T13:50:00Z,Laksens hus,6.48
2024-03-12T13:55:00Z,Laksens hus,6.48
2024-03-12T14:00:00Z,Laksens hus,6.48
2024-03-12T14:05:00Z,Laksens hus,6.48
2024-03-12T14:10:00Z,Laksens hus,6.48
2024-03-12T14:15:00Z,Laksens hus,6.48
2024-03-12T14:20:00Z,Laksens hus,6.48
2024-03-12T14:25:00Z,Laksens hus,6.48
2024-03-12T14:30:00Z,Laksens hus,6.48
2024-03-12T14:35:00Z,Laksens hus,6.48
2024-03-12T14:40:00Z,Laksens hus,6.48
2024-03-12T14:45:00Z,Laksens hus,6.48
2024-03-12T14:50:00Z,Laksens hus,6.48
2024-03-12T14:55:00Z,Laksens hus,6.58
2024-03-12T15:00:00Z,Laksens hus,6.58
2024-03-12T15:05:00Z,Laksens hus,6.58
2024-03-12T15:10:00Z,Laksens hus,6.58
2024-03-12T15:15:00Z,Laksens hus,6.58
2024-03-12T15:20:00Z,Laksens hus,6.58
2024-03-12T15:25:00Z,Laksens hus,6.58
2024-03-12T15:30:00Z,Laksens hus,6.58
2024-03-12T15:35:00Z,Laksens hus,6.58
2024-03-12T15:40:00Z,Laksens hus,6.58
2024-03-12T15:45:00Z,Laksens hus,6.58
2024-03-12T15:50:00Z,Laksens hus,6.58
2024-03-12T15:55:00Z,Laksens hus,6.58
2024-03-12T16:00:00Z,Laksens hus,6.58
2024-03-12T16:05:00Z,Laksens hus,6.58
2024-03-12T13:45:00Z,Laksens hus,6.48
2024-03-12T13:50:00Z,Laksens hus,6.48
2024-03-12T13:55:00Z,Laksens hus,6.48
2024-03-12T14:00:00Z,Laksens hus,6.48
2024-03-12T14:05:00Z,Laksens hus,6.48
2024-03-12T18:10:00Z,Laksens hus,6.68
2024-03-12T18:15:00Z,Laksens hus,6.68
2024-03-12T18:20:00Z,Laksens hus,6.68
2024-03-12T18:25:00Z,Laksens hus,6.68
2024-03-12T18:30:00Z,Laksens hus,6.68
2024-03-12T18:35:00Z,Laksens hus,6.68
2024-03-12T18:40:00Z,Laksens hus,6.68
2024-03-12T18:45:00Z,Laksens hus,6.68
2024-03-12T18:50:00Z,Laksens hus,6.68
2024-03-12T18:55:00Z,Laksens hus,6.68
2024-03-12T19:00:00Z,Laksens hus,6.68
2024-03-12T19:05:00Z,Laksens hus,6.68
