Date,Length,Weight,Name,Place,Method,Cut,Foto,Killed,Sex,Net
2003-04-16,85,5,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-04-16,92,7.5,NA,Nedre,Flue,FALSE,NA,TRUE,NA,TRUE
2003-04-17,96,8.8,NA,Nedre,NA,FALSE,NA,TRUE,NA,FALSE
2003-05-19,92,9.2,NA,Nedre,Spin,FALSE,NA,TRUE,NA,FALSE
2003-05-20,76,4.6,NA,Nedre,Flue,FALSE,NA,FALSE,NA,TRUE
2003-05-26,109,13,NA,Nedre,Flue,FALSE,NA,TRUE,NA,TRUE
2003-06-14,81,6,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-06-17,88,6.8,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-06-30,90,8,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-07-08,77,4.5,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-07-11,75,4.5,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-07-12,80,5.3,NA,Nedre,Spin,FALSE,NA,TRUE,NA,FALSE
2003-07-13,78,4.5,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-07-20,85,5.9,NA,Nedre,Orm,FALSE,NA,TRUE,NA,FALSE
2003-07-24,63,2.5,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-07-25,74,4,NA,Nedre,Spin,FALSE,NA,FALSE,NA,TRUE
2003-07-25,75,3.6,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-07-25,85,6,NA,Nedre,Flue,FALSE,NA,TRUE,NA,TRUE
2003-07-26,63,2.5,NA,Nedre,Spin,FALSE,NA,TRUE,NA,TRUE
2003-07-26,65,2.7,NA,Nedre,Orm,FALSE,NA,TRUE,NA,FALSE
2003-07-26,68,2.5,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-07-26,70,3.4,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-07-26,79,4.4,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-07-27,67,2.9,NA,Nedre,Orm,FALSE,NA,TRUE,NA,FALSE
2003-07-28,63,2.5,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-07-28,69,3.3,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-01,84,6.1,NA,Nedre,NA,FALSE,NA,FALSE,NA,FALSE
2003-08-02,60,1.5,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-08-02,69,3,NA,Nedre,NA,FALSE,NA,FALSE,NA,FALSE
2003-08-02,70,3,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-03,64,2.5,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-03,64,2.6,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-03,70,3.5,NA,Nedre,Flue,FALSE,NA,TRUE,NA,FALSE
2003-08-05,63,2.3,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-05,86,6,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-06,65,2.5,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-07,74,3.5,NA,Nedre,Flue,FALSE,NA,FALSE,NA,TRUE
2003-08-08,64,2.4,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-08-09,87,9,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-11,64,2.5,NA,Nedre,Orm,FALSE,NA,TRUE,NA,FALSE
2003-08-11,73,3.8,NA,Nedre,Orm,FALSE,NA,TRUE,NA,FALSE
2003-08-12,67,3,NA,Nedre,Flue,FALSE,NA,TRUE,NA,TRUE
2003-08-12,70,3.5,NA,Nedre,Spin,FALSE,NA,FALSE,NA,FALSE
2003-08-12,87,5.5,NA,Nedre,NA,FALSE,NA,TRUE,NA,FALSE
2003-08-13,66,2.8,NA,Nedre,Flue,FALSE,NA,FALSE,NA,FALSE
2003-08-14,64,1.9,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-14,67,2.7,NA,Nedre,Spin,FALSE,NA,TRUE,NA,FALSE
2003-08-14,70,3.1,NA,Nedre,Spin,FALSE,NA,TRUE,NA,FALSE
2003-08-15,65,2.5,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-15,66,2.6,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-15,67,2.9,NA,Nedre,Orm,FALSE,NA,FALSE,NA,TRUE
2003-08-15,69,2.7,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
2003-08-15,84,6,NA,Nedre,Orm,FALSE,NA,FALSE,NA,FALSE
