Group,Desc,Text,long,lat,LineGroupId,Club
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118446,56.327471,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118638,56.32781,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118041,56.328087,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117619,56.328126,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117365,56.328155,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116776,56.328443,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116639,56.328601,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116752,56.328712,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116908,56.328736,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117053,56.328757,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117568,56.329035,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117572,56.32921,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1174,56.32925,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11687,56.3292,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11663,56.32935,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1166,56.3295,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11663,56.32964,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11691,56.329734,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117346,56.329777,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.117013,56.329795,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116546,56.329732,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116259,56.329718,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116402,56.329592,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116572,56.329511,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116595,56.329379,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116507,56.329283,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116319,56.329274,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.116139,56.329336,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.115876,56.329552,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11574,56.329745,1,HI-LF
