Group,Desc,Text,long,lat,Club,Icon
Standpladser,Spang,NA,9.076842,56.371228,NA,fish.png
Standpladser,Mergelhullet,NA,9.080576,56.36976,NA,fish.png
Standpladser,Spang,NA,9.080501,56.369012,NA,fish.png
Standpladser,Den gamle vandmølle,NA,9.077657,56.368489,NA,fish.png
Standpladser,Poplerne,NA,9.084588,56.368328,NA,fish.png
Standpladser,Det grønne sommerhus,NA,9.085103,56.368245,NA,fish.png
Standpladser,Skiltehullet,NA,9.088022,56.366789,NA,fish.png
Standpladser,Halvøen,NA,9.104801,56.351722,NA,fish.png
Standpladser,Aksels sving,NA,9.10611,56.35193,NA,fish.png
Standpladser,Margrethes hus,NA,9.106861,56.342275,NA,fish.png
Standpladser,Sløjfen,NA,9.109222,56.340021,NA,fish.png
Standpladser,Karlos eng,NA,9.108138,56.339147,NA,fish.png
Standpladser,Buen,NA,9.11023,56.339028,NA,fish.png
Standpladser,Børges skrammel,NA,9.108514,56.338118,NA,fish.png
Standpladser,Den sikre,NA,9.114039,56.33499,NA,fish.png
Standpladser,Den store hestesko,NA,9.113106,56.334609,NA,fish.png
Standpladser,Stryget,NA,9.116067,56.33389,NA,fish.png
Standpladser,Digesvinget,NA,9.117343,56.331754,NA,fish.png
Standpladser,Sandskrænten,NA,9.115906,56.331743,NA,fish.png
Standpladser,Spang,NA,8.997105,56.429819,NA,fish.png
Standpladser,S-svinget,9/12-2012: Indberettet af Jakob Larsen,8.986216,56.49413,NA,fish.png
Standpladser,Røjbæk Spang,9/12-2012: Indberettet af Jakob Larsen,9.000506,56.413854,NA,fish.png
Standpladser,Pumpen,9/12-2012: Indrapporteret af Jakob Larsen,9.001215,56.409738,NA,fish.png
Standpladser,Brittas hul,NA,9.005919,56.40891,NA,fish.png
Standpladser,Rosgaardsvinget,"(Andre forslag er også velkomne jvf. nedenstående)<br>12/12-2012: Forslag til navn af Jakob Larsen: Hvis man kommer så langt at nye navne skal med synes jeg ""Rosgaardsvinget"" passer fint til første sving nedstrøms Hagebro til ære for den lodsejer som i en menneskealder satte sit præg på området.",9.007255,56.407586,NA,fish.png
Standpladser,Jernbanebroen,NA,9.15792,56.305956,NA,fish.png
Standpladser,Bestyrelsessvinget,NA,9.155828,56.305857,NA,fish.png
Standpladser,Landevejsbroen,NA,9.154873,56.3062,NA,fish.png
Standpladser,Pensionisten,I tidernes morgen var der en bænk her til pensionister.,9.153446,56.306253,NA,fish.png
Standpladser,Brillesvinget,"En gang da Jim og Flakker var ude at rydde kom Jim til at svinge en gren op i Flakker, som mistede sine briller, der først blev fundet efter 3 dage.",9.153001,56.306883,NA,fish.png
Standpladser,Giraffen (området),Der var en gang en fisker der affiskede dette område. Efter at have gjort dette fik han altid en giraføl. Heraf navnet giraffen.,9.151735,56.307054,NA,fish.png
Standpladser,Udløbet,NA,9.152336,56.308167,NA,fish.png
Standpladser,Tage Hermansen,Fangede engang en fisk på 9 kg her.,9.151826,56.30861,NA,fish.png
Standpladser,Fomsgaards hul,NA,9.151295,56.308589,NA,fish.png
Standpladser,Gennembruddet,Svinget var engang meget større.,9.150136,56.308134,NA,fish.png
Standpladser,Lindeberg svinget,Opkaldt efter lodsejeren,9.150329,56.30903,NA,fish.png
Standpladser,Tømrerland,Pga. at der kun er tømreren der kan gå der (han vejer sgu ikke meget).,9.149364,56.309354,NA,fish.png
Standpladser,Militærerets bænk,"Området benævnes ofte ""mili""",9.147754,56.309598,NA,fish.png
Standpladser,Rosgaard stykket,NA,9.0095562,56.4065145,NA,fish.png
Standpladser,Elletræet,NA,9.146317,56.310892,NA,fish.png
Standpladser,Gallehøj slut,NA,9.140008,56.315671,NA,fish.png
Standpladser,Gallehøj,NA,9.146563,56.311654,NA,fish.png
Standpladser,Det gamle gennembrud,Der har engang været et stort sving her.,9.140614,56.31524,NA,fish.png
Standpladser,Det store sving,NA,9.14158,56.314139,NA,fish.png
Standpladser,Det røde sommerhus,NA,9.138699,56.31795,NA,fish.png
Standpladser,Spisekammeret,NA,9.008793,56.4056948,NA,fish.png
Standpladser,Faskinesvinget,NA,9.143023,56.311696,NA,fish.png
