Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2017-01-01T00:00:00Z,NA,NA,NA,NA,NA,NA,0.6759999999999999
2017-01-01T00:15:00Z,NA,NA,NA,NA,NA,NA,0.6779999999999999
2017-01-01T00:30:00Z,NA,NA,NA,NA,NA,NA,0.6779999999999999
2017-01-01T00:45:00Z,NA,NA,NA,NA,NA,NA,0.6759999999999999
2017-01-01T01:00:00Z,NA,NA,NA,NA,NA,NA,0.6759999999999999
2017-01-01T01:15:00Z,NA,NA,NA,NA,NA,NA,0.68
2017-01-01T01:30:00Z,NA,NA,NA,NA,NA,NA,0.679
2017-01-01T01:45:00Z,NA,NA,NA,NA,NA,NA,0.68
2017-01-01T02:00:00Z,NA,NA,NA,NA,NA,NA,0.6829999999999999
2017-01-01T02:15:00Z,NA,NA,NA,NA,NA,NA,0.6809999999999999
2017-01-01T02:30:00Z,NA,NA,NA,NA,NA,NA,0.6809999999999999
2017-01-01T02:45:00Z,NA,NA,NA,NA,NA,NA,0.682
2017-01-01T03:00:00Z,NA,NA,NA,NA,NA,NA,0.684
2017-01-01T03:15:00Z,NA,NA,NA,NA,NA,NA,0.684
2017-01-01T03:30:00Z,NA,NA,NA,NA,NA,NA,0.6859999999999999
2017-01-01T03:45:00Z,NA,NA,NA,NA,NA,NA,0.688
2017-01-01T04:00:00Z,NA,NA,NA,NA,NA,NA,0.6900000000000001
2017-01-01T04:15:00Z,NA,NA,NA,NA,NA,NA,0.691
2017-01-01T04:30:00Z,NA,NA,NA,NA,NA,NA,0.6900000000000001
2017-01-01T04:45:00Z,NA,NA,NA,NA,NA,NA,0.691
2017-01-01T05:00:00Z,NA,NA,NA,NA,NA,NA,0.693
2017-01-01T05:15:00Z,NA,NA,NA,NA,NA,NA,0.693
2017-01-01T05:30:00Z,NA,NA,NA,NA,NA,NA,0.6940000000000001
2017-01-01T05:45:00Z,NA,NA,NA,NA,NA,NA,0.696
2017-01-01T06:00:00Z,NA,NA,NA,NA,NA,NA,0.696
2017-01-01T06:15:00Z,NA,NA,NA,NA,NA,NA,0.6970000000000001
2017-01-01T06:30:00Z,NA,NA,NA,NA,NA,NA,0.698
2017-01-01T06:45:00Z,NA,NA,NA,NA,NA,NA,0.7009999999999998
2017-01-01T07:00:00Z,NA,NA,NA,NA,NA,NA,0.7009999999999998
2017-01-01T07:15:00Z,NA,NA,NA,NA,NA,NA,0.7009999999999998
