Group,Desc,Text,long,lat,LineGroupId,Club
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91172,55.978142,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91218,55.97818,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91295,55.978321,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91431,55.97908,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91468,55.979221,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91538,55.97934,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91607,55.979401,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91677,55.979382,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91715,55.979252,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.917324,55.979152,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91761,55.97905,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91784,55.97876,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91769,55.978401,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91746,55.978291,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91724,55.978291,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91654,55.978531,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91627,55.978531,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.91604,55.978481,101,HI-LF
Skjern Å - Fiskevand,Skjern Å - Fiskevand,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",8.9158,55.978321,101,HI-LF
