Length,Period,Avg,Lower,Upper,MonthN
60,okt,2.37,1.807,3.109,10
61,apr,2.669,2.033,3.503,4
61,maj,2.888,2.201,3.79,5
61,jun,2.916,2.225,3.823,6
61,jul,2.826,2.156,3.704,7
61,aug,2.664,2.033,3.492,8
61,sep,2.603,1.986,3.413,9
61,okt,2.484,1.894,3.259,10
62,apr,2.797,2.13,3.672,4
62,maj,3.037,2.315,3.986,5
62,jun,3.06,2.334,4.011,6
62,jul,2.963,2.261,3.884,7
62,aug,2.792,2.13,3.659,8
62,sep,2.73,2.083,3.579,9
62,okt,2.603,1.984,3.414,10
63,apr,2.928,2.23,3.846,4
63,maj,3.192,2.433,4.189,5
63,jun,3.207,2.447,4.205,6
63,jul,3.105,2.369,4.07,7
63,aug,2.923,2.23,3.831,8
63,sep,2.86,2.182,3.75,9
63,okt,2.724,2.076,3.574,10
64,apr,3.064,2.333,4.025,4
64,maj,3.352,2.555,4.4,5
64,jun,3.36,2.563,4.404,6
64,jul,3.251,2.48,4.262,7
64,aug,3.058,2.333,4.008,8
64,sep,2.995,2.285,3.926,9
64,okt,2.849,2.171,3.739,10
65,apr,3.204,2.439,4.21,4
65,maj,3.518,2.68,4.617,5
65,jun,3.517,2.683,4.611,6
65,jul,3.402,2.595,4.459,7
65,aug,3.197,2.439,4.19,8
65,sep,3.134,2.39,4.108,9
65,okt,2.978,2.269,3.909,10
66,apr,3.348,2.548,4.4,4
66,maj,3.689,2.81,4.842,5
66,jun,3.679,2.806,4.823,6
66,jul,3.557,2.714,4.663,7
66,aug,3.34,2.548,4.378,8
66,sep,3.276,2.499,4.295,9
66,okt,3.111,2.37,4.084,10
67,apr,3.496,2.66,4.596,4
67,maj,3.865,2.945,5.074,5
67,jun,3.846,2.933,5.042,6
67,jul,3.717,2.835,4.872,7
67,aug,3.487,2.66,4.571,8
67,sep,3.423,2.611,4.488,9
67,okt,3.247,2.473,4.264,10
68,apr,3.649,2.775,4.798,4
68,maj,4.047,3.083,5.314,5
68,jun,4.017,3.064,5.267,6
68,jul,3.881,2.961,5.088,7
68,aug,3.639,2.776,4.77,8
68,sep,3.575,2.726,4.687,9
68,okt,3.388,2.58,4.449,10
69,apr,3.806,2.894,5.005,4
69,maj,4.235,3.226,5.561,5
69,jun,4.194,3.198,5.499,6
69,jul,4.05,3.089,5.31,7
69,aug,3.794,2.894,4.974,8
69,sep,3.73,2.845,4.891,9
69,okt,3.532,2.689,4.64,10
70,apr,3.967,3.015,5.218,4
70,maj,4.429,3.372,5.816,5
70,jun,4.375,3.337,5.738,6
70,jul,4.224,3.222,5.538,7
70,aug,3.954,3.016,5.184,8
70,sep,3.89,2.967,5.101,9
70,okt,3.68,2.801,4.835,10
71,apr,4.132,3.14,5.437,4
71,maj,4.629,3.524,6.08,5
71,jun,4.562,3.479,5.983,6
71,jul,4.403,3.358,5.772,7
71,aug,4.118,3.141,5.399,8
71,sep,4.055,3.092,5.317,9
71,okt,3.832,2.916,5.037,10
72,apr,4.302,3.268,5.662,4
72,maj,4.834,3.68,6.351,5
72,jun,4.754,3.625,6.235,6
72,jul,4.586,3.498,6.013,7
72,aug,4.287,3.27,5.621,8
72,sep,4.224,3.221,5.539,9
72,okt,3.988,3.034,5.243,10
73,apr,4.476,3.4,5.893,4
73,maj,5.046,3.84,6.63,5
73,jun,4.952,3.775,6.495,6
73,jul,4.775,3.642,6.261,7
73,aug,4.46,3.402,5.848,8
73,sep,4.397,3.353,5.767,9
73,okt,4.148,3.154,5.455,10
74,apr,4.655,3.535,6.131,4
74,maj,5.264,4.005,6.918,5
74,jun,5.154,3.929,6.761,6
74,jul,4.968,3.789,6.515,7
74,aug,4.638,3.537,6.081,8
74,sep,4.575,3.488,6.001,9
74,okt,4.313,3.278,5.673,10
75,apr,4.839,3.673,6.374,4
75,maj,5.488,4.175,7.215,5
75,jun,5.362,4.088,7.034,6
75,jul,5.167,3.94,6.776,7
75,aug,4.82,3.676,6.32,8
75,sep,4.758,3.628,6.241,9
75,okt,4.481,3.405,5.897,10
76,apr,5.027,3.815,6.624,4
76,maj,5.719,4.349,7.52,5
76,jun,5.576,4.25,7.315,6
76,jul,5.371,4.096,7.044,7
76,aug,5.006,3.818,6.565,8
76,sep,4.946,3.77,6.488,9
76,okt,4.654,3.535,6.126,10
77,apr,5.22,3.96,6.88,4
77,maj,5.956,4.528,7.834,5
77,jun,5.795,4.417,7.603,6
77,jul,5.58,4.255,7.318,7
77,aug,5.198,3.963,6.816,8
77,sep,5.138,3.917,6.74,9
77,okt,4.831,3.668,6.361,10
78,apr,5.417,4.108,7.143,4
78,maj,6.199,4.712,8.156,5
78,jun,6.019,4.587,7.898,6
78,jul,5.794,4.418,7.6,7
78,aug,5.393,4.113,7.073,8
78,sep,5.335,4.067,7,9
78,okt,5.012,3.805,6.602,10
79,apr,5.62,4.261,7.413,4
79,maj,6.45,4.901,8.488,5
79,jun,6.25,4.763,8.201,6
79,jul,6.014,4.585,7.888,7
79,aug,5.594,4.265,7.337,8
79,sep,5.537,4.22,7.265,9
79,okt,5.197,3.944,6.849,10
80,apr,5.827,4.416,7.689,4
80,maj,6.707,5.095,8.829,5
80,jun,6.486,4.942,8.512,6
80,jul,6.239,4.756,8.184,7
80,aug,5.8,4.422,7.607,8
80,sep,5.745,4.378,7.538,9
80,okt,5.387,4.087,7.102,10
81,apr,6.039,4.576,7.971,4
81,maj,6.971,5.294,9.18,5
81,jun,6.728,5.126,8.83,6
81,jul,6.47,4.932,8.487,7
81,aug,6.01,4.582,7.883,8
81,sep,5.957,4.539,7.817,9
81,okt,5.582,4.233,7.362,10
82,apr,6.257,4.739,8.261,4
82,maj,7.242,5.498,9.539,5
82,jun,6.975,5.314,9.156,6
82,jul,6.706,5.112,8.797,7
82,aug,6.226,4.746,8.166,8
82,sep,6.174,4.704,8.103,9
82,okt,5.781,4.382,7.627,10
83,apr,6.479,4.905,8.557,4
83,maj,7.52,5.707,9.909,5
83,jun,7.229,5.507,9.49,6
83,jul,6.947,5.295,9.115,7
83,aug,6.446,4.914,8.456,8
83,sep,6.396,4.873,8.395,9
83,okt,5.984,4.534,7.899,10
84,apr,6.706,5.076,8.86,4
84,maj,7.805,5.921,10.288,5
84,jun,7.489,5.704,9.832,6
84,jul,7.195,5.484,9.44,7
84,aug,6.671,5.085,8.752,8
84,sep,6.624,5.046,8.695,9
84,okt,6.193,4.69,8.177,10
85,apr,6.939,5.25,9.171,4
85,maj,8.097,6.141,10.677,5
85,jun,7.755,5.906,10.182,6
85,jul,7.448,5.676,9.773,7
85,aug,6.901,5.26,9.055,8
85,sep,6.856,5.223,9.001,9
85,okt,6.405,4.849,8.461,10
86,apr,7.177,5.428,9.488,4
86,maj,8.397,6.366,11.076,5
86,jun,8.027,6.112,10.541,6
86,jul,7.707,5.873,10.113,7
86,aug,7.137,5.439,9.364,8
86,sep,7.095,5.404,9.315,9
86,okt,6.623,5.011,8.752,10
87,apr,7.42,5.61,9.813,4
87,maj,8.704,6.596,11.486,5
87,jun,8.305,6.324,10.907,6
87,jul,7.971,6.074,10.461,7
87,aug,7.378,5.623,9.681,8
87,sep,7.338,5.589,9.635,9
87,okt,6.845,5.177,9.05,10
88,apr,7.668,5.796,10.145,4
88,maj,9.019,6.832,11.905,5
88,jun,8.59,6.54,11.282,6
88,jul,8.242,6.28,10.817,7
88,aug,7.623,5.81,10.004,8
88,sep,7.587,5.778,9.963,9
88,okt,7.072,5.346,9.354,10
89,apr,7.922,5.985,10.484,4
89,maj,9.341,7.074,12.335,5
89,jun,8.88,6.76,11.666,6
89,jul,8.519,6.49,11.181,7
89,aug,7.875,6.001,10.334,8
89,sep,7.841,5.971,10.298,9
89,okt,7.304,5.519,9.665,10
90,apr,8.181,6.179,10.831,4
90,maj,9.671,7.321,12.776,5
90,jun,9.178,6.986,12.058,6
90,jul,8.801,6.705,11.552,7
90,aug,8.131,6.196,10.671,8
90,sep,8.101,6.168,10.641,9
90,okt,7.541,5.696,9.983,10
91,apr,8.445,6.376,11.186,4
91,maj,10.009,7.574,13.227,5
91,jun,9.482,7.216,12.458,6
91,jul,9.09,6.925,11.932,7
91,aug,8.393,6.395,11.016,8
91,sep,8.367,6.37,10.991,9
91,okt,7.782,5.875,10.308,10
92,apr,8.715,6.578,11.547,4
92,maj,10.355,7.832,13.69,5
92,jun,9.792,7.452,12.868,6
92,jul,9.385,7.149,12.32,7
92,aug,8.66,6.598,11.367,8
92,sep,8.638,6.575,11.348,9
92,okt,8.029,6.059,10.639,10
93,apr,8.991,6.783,11.917,4
93,maj,10.709,8.097,14.163,5
93,jun,10.109,7.692,13.286,6
93,jul,9.686,7.378,12.716,7
93,aug,8.933,6.805,11.726,8
93,sep,8.915,6.785,11.713,9
93,okt,8.28,6.246,10.978,10
94,apr,9.272,6.993,12.294,4
94,maj,11.07,8.367,14.648,5
94,jun,10.433,7.937,13.713,6
94,jul,9.993,7.611,13.121,7
94,aug,9.211,7.017,12.092,8
