Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-05T00:00:00Z,1.00631072998047,1.18182373046875,-4.31347631454467,1.09409309387207,1.04496696472168,-1.6294966583252002,0.629
2020-07-04T23:45:00Z,1.00354583740234,1.1827823638916,-4.31259008407592,1.08713798522949,1.04225021362305,-1.63175816345215,0.627
2020-07-04T23:30:00Z,1.00191879272461,1.18347312927246,-4.31481252670288,1.08679351806641,1.0414740753173801,-1.63373120117187,0.627
2020-07-04T23:15:00Z,1.00058479309082,1.18418563842773,-4.32212408065796,1.08123886108398,1.03972755432129,-1.63576443481445,0.626
2020-07-04T23:00:00Z,0.997981109619141,1.18467384338379,-4.32533437728881,1.07744041442871,1.03759315490723,-1.6379813842773403,0.625
2020-07-04T22:45:00Z,0.995335388183594,1.18505493164063,-4.32705327987671,1.07520477294922,1.0372050476074202,-1.6400304107666002,0.625
2020-07-04T22:30:00Z,0.992816314697266,1.18510330200195,-4.3331770896911594,1.0695565032959,1.03681694030762,-1.6425324707031201,0.623
2020-07-04T22:15:00Z,0.990129852294922,1.18501571655273,-4.32786931991577,1.06781059265137,1.03196563720703,-1.6445550994873002,0.625
2020-07-04T22:00:00Z,0.987589874267578,1.18472099304199,-4.33839056015014,1.06347953796387,1.0302192687988299,-1.6468560485839803,0.623
2020-07-04T21:45:00Z,0.9843223571777341,1.1841625213623,-4.3399739646911595,1.0577425384521502,1.02711448669434,-1.6489664916992202,0.623
2020-07-04T21:30:00Z,0.98215446472168,1.1835725402832,-4.34999090194702,1.05609474182129,1.0247859954834,-1.65157940673828,0.623
2020-07-04T21:15:00Z,0.978768844604492,1.1827293395996101,-4.34758916854858,1.0515682983398402,1.02284545898438,-1.6537474517822301,0.623
2020-07-04T21:00:00Z,0.9760117340087889,1.18147911071777,-4.353832302093499,1.04493110656738,1.02362159729004,-1.65580769348145,0.622
2020-07-04T20:45:00Z,0.972773666381836,1.17998161315918,-4.357739467620849,1.04051452636719,1.01624778747559,-1.6581528930664102,0.622
2020-07-04T20:30:00Z,0.970323638916016,1.17788139343262,-4.35719366073608,1.03619659423828,1.01896453857422,-1.6602466278076202,0.621
