Length,Period,Avg,Lower,Upper,MonthN
60,Mar,1.93,1.557,2.394,3
60,May,2.682,2.162,3.328,5
60,Jun,2.649,2.136,3.284,6
60,Jul,2.606,2.102,3.231,7
60,Aug,2.535,2.044,3.143,8
60,Sep,2.451,1.977,3.04,9
60,Oct,2.401,1.937,2.978,10
60,Apr,2.2,1.773,2.729,4
61,Mar,2.025,1.633,2.511,3
61,May,2.82,2.273,3.498,5
61,Jun,2.784,2.245,3.453,6
61,Jul,2.742,2.211,3.4,7
61,Aug,2.667,2.151,3.307,8
61,Sep,2.578,2.079,3.196,9
61,Oct,2.525,2.036,3.13,10
61,Apr,2.327,1.876,2.887,4
62,Mar,2.123,1.712,2.633,3
62,May,2.962,2.388,3.675,5
62,Jun,2.925,2.359,3.627,6
62,Jul,2.882,2.325,3.574,7
62,Aug,2.804,2.262,3.477,8
62,Sep,2.708,2.184,3.358,9
62,Oct,2.652,2.139,3.288,10
62,Apr,2.46,1.983,3.052,4
63,Mar,2.224,1.794,2.759,3
63,May,3.109,2.507,3.857,5
63,Jun,3.07,2.476,3.806,6
63,Jul,3.028,2.442,3.754,7
63,Aug,2.946,2.376,3.653,8
63,Sep,2.843,2.293,3.525,9
63,Oct,2.783,2.245,3.451,10
63,Apr,2.599,2.095,3.224,4
64,Mar,2.329,1.878,2.888,3
64,May,3.261,2.629,4.045,5
64,Jun,3.219,2.596,3.992,6
64,Jul,3.178,2.563,3.941,7
64,Aug,3.093,2.494,3.835,8
64,Sep,2.982,2.405,3.698,9
64,Oct,2.919,2.354,3.62,10
64,Apr,2.742,2.211,3.402,4
65,Mar,2.436,1.964,3.021,3
65,May,3.418,2.756,4.239,5
65,Jun,3.374,2.721,4.184,6
65,Jul,3.333,2.688,4.133,7
65,Aug,3.244,2.616,4.023,8
65,Sep,3.126,2.521,3.876,9
65,Oct,3.059,2.467,3.794,10
65,Apr,2.892,2.331,3.587,4
66,Mar,2.547,2.054,3.158,3
66,May,3.58,2.886,4.44,5
66,Jun,3.533,2.849,4.381,6
66,Jul,3.494,2.818,4.332,7
66,Aug,3.401,2.743,4.217,8
66,Sep,3.274,2.64,4.06,9
66,Oct,3.204,2.584,3.973,10
66,Apr,3.046,2.456,3.779,4
67,Mar,2.661,2.145,3.299,3
67,May,3.746,3.021,4.646,5
67,Jun,3.698,2.982,4.585,6
67,Jul,3.659,2.951,4.537,7
