Date,Place,YGroup,Temp
2020-11-03T02:25:00Z,Hagebro,2023,8.2
2020-11-03T03:25:00Z,Hagebro,2023,8.2
2020-11-03T04:25:00Z,Hagebro,2023,8.2
2020-11-03T05:25:00Z,Hagebro,2023,8.2
2020-11-03T06:25:00Z,Hagebro,2023,8.1
2020-11-03T07:25:00Z,Hagebro,2023,8.1
2020-11-03T08:25:00Z,Hagebro,2023,8.2
2020-11-03T09:25:00Z,Hagebro,2023,8.3
2020-11-03T10:25:00Z,Hagebro,2023,8.4
2020-11-03T11:25:00Z,Hagebro,2023,8.4
2020-11-03T12:25:00Z,Hagebro,2023,8.5
2020-11-03T13:25:00Z,Hagebro,2023,8.6
2020-11-03T14:25:00Z,Hagebro,2023,8.6
2020-11-03T15:25:00Z,Hagebro,2023,8.6
2020-11-03T16:25:00Z,Hagebro,2023,8.6
2020-11-03T17:25:00Z,Hagebro,2023,8.7
2020-11-03T18:25:00Z,Hagebro,2023,8.7
2020-11-03T19:25:00Z,Hagebro,2023,8.7
2020-11-03T20:25:00Z,Hagebro,2023,8.7
2020-11-03T21:25:00Z,Hagebro,2023,8.7
2020-11-03T22:25:00Z,Hagebro,2023,8.7
2020-11-03T23:25:00Z,Hagebro,2023,8.7
2020-11-04T00:25:00Z,Hagebro,2023,8.7
2020-11-04T01:25:00Z,Hagebro,2023,8.7
2020-11-04T02:25:00Z,Hagebro,2023,8.7
2020-11-04T03:25:00Z,Hagebro,2023,8.7
2020-11-04T04:25:00Z,Hagebro,2023,8.7
2020-11-04T05:25:00Z,Hagebro,2023,8.7
2020-11-04T06:25:00Z,Hagebro,2023,8.7
2020-11-04T07:25:00Z,Hagebro,2023,8.7
2020-11-04T08:25:00Z,Hagebro,2023,8.7
2020-11-04T09:25:00Z,Hagebro,2023,8.7
2020-11-04T10:25:00Z,Hagebro,2023,8.8
2020-11-04T11:25:00Z,Hagebro,2023,8.8
2020-11-04T12:25:00Z,Hagebro,2023,8.8
2020-11-04T13:25:00Z,Hagebro,2023,8.9
2020-11-04T14:25:00Z,Hagebro,2023,8.9
2020-11-04T15:25:00Z,Hagebro,2023,8.9
2020-11-04T16:25:00Z,Hagebro,2023,8.9
2020-11-04T17:25:00Z,Hagebro,2023,8.8
2020-11-04T18:25:00Z,Hagebro,2023,8.8
2020-11-04T19:25:00Z,Hagebro,2023,8.7
2020-11-04T20:25:00Z,Hagebro,2023,8.7
2020-11-04T21:25:00Z,Hagebro,2023,8.6
2020-11-04T22:25:00Z,Hagebro,2023,8.6
2020-11-04T23:25:00Z,Hagebro,2023,8.6
2020-11-05T00:25:00Z,Hagebro,2023,8.6
2020-11-05T01:25:00Z,Hagebro,2023,8.6
2020-11-05T02:25:00Z,Hagebro,2023,8.5
2020-11-05T03:25:00Z,Hagebro,2023,8.5
2020-11-05T04:25:00Z,Hagebro,2023,8.6
2020-11-05T05:25:00Z,Hagebro,2023,8.5
2020-11-05T06:25:00Z,Hagebro,2023,8.5
