Dato,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 8,Port 9,Port 10,Port 11,Port 12,Port 13,Port 14,Hændelse
2011-08-16T21:53:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,Udstrøm
2011-08-16T23:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,Besejling
2011-08-16T23:14:00Z,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,Besejling
2011-08-17T18:03:00Z,NA,NA,NA,NA,5,5,5,NA,5,5,NA,5,5,5,Indstrøm
2011-08-17T19:52:00Z,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,0,Indstrøm slut
2011-08-17T21:06:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-18T02:06:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-08-18T02:57:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-08-18T21:05:00Z,NA,NA,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,Udstrøm
2011-08-18T21:21:00Z,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,Besejling
2011-08-19T05:27:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,5,5,5,Ud og indstrøm
2011-08-19T05:40:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,Besejling
2011-08-19T06:11:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,5,5,5,Ud og indstrøm
2011-08-19T06:36:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,Besejling
2011-08-19T11:45:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,5,5,5,Ud og indstrøm
2011-08-19T12:21:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,Besejling
2011-08-19T12:44:00Z,NA,NA,NA,5,NA,5,NA,5,5,NA,5,5,5,5,Ud og indstrøm
2011-08-19T16:15:00Z,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,0,0,Høj havvandstand
2011-08-19T18:59:00Z,NA,NA,NA,5,NA,5,NA,5,5,NA,5,5,5,5,Indstrøm
2011-08-19T21:07:00Z,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,0,0,Indstrøm slut
2011-08-19T22:20:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Ud og indstrøm
2011-08-20T00:12:00Z,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,Indstrøm
2011-08-20T04:37:00Z,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,0,Besejling
2011-08-21T10:44:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
2011-08-21T23:46:00Z,NA,NA,NA,5,NA,5,5,5,5,NA,5,5,5,5,Udstrøm
2011-08-22T03:14:00Z,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,Udstrøm slut
2011-08-22T12:49:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-22T13:37:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Arbejde sluse eller havn
2011-08-22T13:58:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-22T14:13:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Besejling
2011-08-22T14:39:00Z,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,Udstrøm
2011-08-22T17:10:00Z,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Udstrøm slut
2011-08-22T18:20:00Z,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Fiskeriet
